ketoconazole	10.315787315368652 -2.6483583450317383 -8.208386421203613 0.44922253489494324 -1.2058804035186768 -0.7116833329200745 -0.6817679405212402 2.0368003845214844 -1.1267712116241455 -4.338863372802734 -4.436001777648926 -5.304703712463379 1.2207342386245728 -2.8464159965515137 -0.9257601499557495 -4.898294925689697 0.5817135572433472 1.1301703453063965 3.446949005126953 5.247943878173828 -1.7925255298614502 -4.013254165649414 2.709282875061035 1.9894717931747437 -3.34446120262146 0.8110923171043396 3.072397232055664 -2.2799859046936035 -3.312314033508301 0.057530589401721954 -10.331501007080078 0.4531305432319641 1.3042728900909424 -2.452188014984131 3.854727268218994 3.6088547706604004 -1.660764455795288 0.4080122113227844 -0.40836232900619507 -0.71406090259552 8.670199394226074 -0.8952997922897339 -0.6979185938835144 0.8713650703430176 -3.3796675205230713 5.043070316314697 -1.583552360534668 -3.3385844230651855 1.8110911846160889 -6.8613457679748535 -0.36875560879707336 2.7217953205108643 1.024475336074829 0.7425118684768677 -2.877913475036621 0.38818490505218506 -0.9434880614280701 9.754461288452148 4.528963088989258 -7.154128074645996 -5.735665798187256 -3.918766498565674 -6.381903171539307 -1.235093116760254 -0.4033556580543518 -14.772151947021484 -5.730975151062012 1.1247588396072388 -0.5844432711601257 4.510066032409668 -2.1852786540985107 -1.0213866233825684 -5.008196830749512 -1.405031681060791 -4.5618672370910645 6.6202592849731445 -0.8159290552139282 1.2528278827667236 -0.9557469487190247 0.5095605254173279 -0.7584426403045654 7.679653167724609 1.5252739191055298 0.9138870239257812 6.826170444488525 1.5893296003341675 -1.5097384452819824 1.246666431427002 -0.650434136390686 1.4358731508255005 0.7855804562568665 -0.7720308899879456 -3.7299792766571045 -1.233575463294983 -11.504658699035645 -0.3104287385940552 -0.9647167921066284 -1.2492663860321045 -3.6609814167022705 2.03437876701355
panobinostat	8.552543640136719 -2.160600423812866 -6.644805431365967 0.6066301465034485 0.14777912199497223 0.2719377875328064 -1.2978105545043945 0.9459140300750732 0.18730056285858154 -5.666730880737305 -5.077612400054932 -6.582592010498047 0.5400518178939819 -2.583942413330078 0.7627472877502441 -6.161876678466797 -0.1479300707578659 1.3230319023132324 4.73855447769165 4.898984432220459 -5.451313495635986 -1.801068663597107 5.819612503051758 0.6194357872009277 -0.30788421630859375 -0.5999686121940613 2.4344890117645264 -0.2244109809398651 -3.4757981300354004 -0.053113535046577454 -6.1351423263549805 -0.8085921406745911 -1.2087955474853516 -1.5591745376586914 -0.6831890940666199 3.680189371109009 -3.4880623817443848 -1.8972954750061035 0.03978559374809265 0.7603424787521362 6.1381072998046875 0.2964208126068115 3.64520263671875 -0.1476595103740692 -3.0812554359436035 5.343849182128906 -1.7416882514953613 -2.997036933898926 0.7197414040565491 -6.421110153198242 -0.5571255683898926 2.880405902862549 -0.647320032119751 -1.8126955032348633 -2.4867477416992188 1.8816428184509277 -1.1320170164108276 6.742980480194092 4.455367088317871 -0.07324936985969543 -1.9446134567260742 -4.181288719177246 -3.2612109184265137 -2.2314791679382324 0.19564288854599 -11.80837631225586 -4.024201393127441 -0.14298765361309052 3.6052186489105225 4.559999942779541 -1.1353211402893066 -0.11269935965538025 -2.236604690551758 0.8069494962692261 -3.566236734390259 2.635326623916626 1.003003478050232 0.1394231766462326 0.5963491201400757 0.41960734128952026 0.8458321690559387 7.371424674987793 -1.4365055561065674 1.7455110549926758 8.479839324951172 3.6155810356140137 0.686447262763977 -0.2984631657600403 -0.8429861664772034 0.09078335762023926 1.3831076622009277 1.71635103225708 -6.417572975158691 1.2794910669326782 -9.83121395111084 0.6298840045928955 -0.7876300811767578 1.5802276134490967 -4.6190266609191895 -0.7838665843009949
moxifloxacin	7.909252166748047 -1.8611491918563843 -5.415348529815674 1.2732893228530884 -1.3484176397323608 -0.19075000286102295 -0.018774747848510742 0.19372069835662842 -0.8274486660957336 -5.231760025024414 -4.719164848327637 -8.331652641296387 1.1160917282104492 -3.0629324913024902 1.4955447912216187 -6.7766032218933105 -0.8581293821334839 1.201815128326416 5.050421714782715 4.410571575164795 -4.7011847496032715 -0.7808275818824768 5.4464111328125 0.999609649181366 -0.5085012316703796 -0.9293390512466431 3.362164258956909 -0.11959657073020935 -3.830557346343994 -0.20193178951740265 -3.727848768234253 0.021503325551748276 -1.8211853504180908 -1.4034720659255981 -0.884065568447113 2.765087842941284 -5.575271129608154 -2.611116647720337 0.12653398513793945 0.29455119371414185 6.780243873596191 0.09093271195888519 4.8859405517578125 -1.54011070728302 -2.546848773956299 5.891594409942627 -0.4638351500034332 -2.557065486907959 0.7214820384979248 -6.44058895111084 -0.8238211870193481 2.6415934562683105 -0.9331632852554321 -1.3268274068832397 -3.8151445388793945 1.297583818435669 -1.0999125242233276 4.005805969238281 6.341737747192383 -0.518811821937561 -1.1603164672851562 -5.948955059051514 -7.490838050842285 -3.143418550491333 0.058844149112701416 -15.160515785217285 -1.04840087890625 -0.044258568435907364 1.951827049255371 2.5415854454040527 -2.2665090560913086 -0.2151733934879303 -5.2897257804870605 0.8931360840797424 -3.5116915702819824 9.325149536132812 1.0428637266159058 -0.01740404963493347 1.1853846311569214 -1.4612946510314941 0.8196573853492737 4.2494049072265625 -1.3971121311187744 1.275305986404419 8.856161117553711 2.095367431640625 -0.09424781799316406 -0.21024543046951294 -0.9856312274932861 -0.06485605239868164 0.5900387763977051 1.602864146232605 -6.244606018066406 0.8151171207427979 -10.163483619689941 0.4904294013977051 -0.3577004671096802 0.6863125562667847 -2.6330485343933105 -0.8550293445587158
lomefloxacin	10.074519157409668 -6.108866214752197 -5.049647808074951 1.0604662895202637 -2.9226534366607666 -0.7677150368690491 -0.9946972131729126 1.9667048454284668 -0.7461214661598206 -5.700222969055176 -4.238056182861328 -8.002730369567871 0.46981632709503174 -0.4172438681125641 -0.9773341417312622 -5.641315460205078 -3.0268375873565674 1.6403651237487793 4.557736873626709 0.07011371850967407 -0.6670937538146973 -4.289782524108887 6.056044578552246 -0.6509695649147034 -0.6260456442832947 1.2487014532089233 4.665708065032959 -1.8094475269317627 -3.764103889465332 -0.3164149224758148 -11.579705238342285 1.3621797561645508 -0.2908223271369934 -5.975416660308838 0.6372925639152527 3.711183547973633 -2.683262348175049 -3.1210646629333496 0.10276538133621216 -0.047368645668029785 6.83439826965332 -1.3729040622711182 2.974050998687744 0.005646362900733948 -4.905455589294434 5.321491718292236 -1.0515254735946655 -0.954069197177887 1.7234405279159546 -10.471436500549316 -1.097686767578125 0.8610236644744873 -0.49924755096435547 0.4834694266319275 -3.521684169769287 1.3062347173690796 -0.8825826048851013 7.8336181640625 4.097078800201416 -7.832935810089111 -4.37026309967041 -2.675175905227661 -5.936452388763428 -4.509036064147949 -1.6999601125717163 -13.329617500305176 -6.895697593688965 1.3100013732910156 0.6198123693466187 2.560840606689453 -1.4111127853393555 -1.4149794578552246 -2.3293728828430176 -1.084525465965271 -3.063007354736328 3.368377685546875 -1.648252010345459 2.9516067504882812 -0.3637053370475769 -0.8958861827850342 0.16926926374435425 7.869418144226074 4.007766246795654 1.4605956077575684 7.204138278961182 1.865687370300293 -2.1870250701904297 0.35520902276039124 -0.9451746940612793 0.6457865238189697 0.4982486963272095 -0.17576491832733154 -5.284862518310547 -0.6612357497215271 -10.510836601257324 -0.07510006427764893 -1.0170836448669434 -1.009451150894165 -3.0865330696105957 0.39998334646224976
sucralfate	0.05598093569278717 -0.10546529293060303 -2.1808338165283203 -2.669832468032837 -0.34465253353118896 3.817678928375244 -0.6664464473724365 0.37874922156333923 1.362162709236145 -3.970909833908081 -4.7178497314453125 -2.4134676456451416 -0.3145681619644165 -0.7335161566734314 -0.4365924596786499 -2.256040573120117 -0.8459241390228271 -0.957711398601532 5.976714134216309 -0.14256076514720917 -1.8116891384124756 -0.08186691999435425 1.2401494979858398 0.5051972270011902 0.3986118733882904 -0.11005240678787231 1.9796679019927979 0.36748796701431274 -1.826746940612793 -0.9882270693778992 0.6056098341941833 -0.7005877494812012 -3.778183937072754 1.2075443267822266 -0.6326401233673096 1.897730827331543 -2.4069714546203613 0.5926005244255066 -0.7868809700012207 0.9939618110656738 1.6742140054702759 0.0358695425093174 3.6293489933013916 1.236256718635559 -0.01602707803249359 3.644562244415283 0.8473405838012695 -1.4849268198013306 0.25762832164764404 -1.6184473037719727 -1.5471868515014648 2.228151798248291 -0.9816980957984924 -1.0052452087402344 0.0457109771668911 1.6667897701263428 0.09511624276638031 9.044315338134766 7.144115447998047 -0.8403480648994446 -0.8636246919631958 -6.753681182861328 -4.858209133148193 -1.829674243927002 -0.3129987120628357 -15.38288402557373 -2.0448386669158936 -0.13880124688148499 3.4207592010498047 2.64363431930542 -1.422067403793335 0.9224686622619629 -5.2825188636779785 0.7342394590377808 -1.8841310739517212 5.682623863220215 0.15890717506408691 1.6187188625335693 0.6300278306007385 -1.9088194370269775 0.6967893838882446 5.496599197387695 1.2422765493392944 -0.0688977986574173 14.552912712097168 3.680882215499878 -0.5577750205993652 -1.2761669158935547 -0.3478934168815613 1.2221076488494873 -0.09198550879955292 1.0070232152938843 -1.9025343656539917 0.8223304748535156 -7.58725118637085 1.4568183422088623 0.8323622345924377 1.9359898567199707 -4.406983852386475 0.9081255197525024
erythromycin	4.341881275177002 -1.5046257972717285 -1.3545373678207397 -1.5489451885223389 0.22066496312618256 4.546391487121582 -0.3370833396911621 0.7849384546279907 1.1178839206695557 -6.156521797180176 -8.357006072998047 -2.293079376220703 0.44060808420181274 -1.983961820602417 0.9813889265060425 -2.856628656387329 -1.9402720928192139 0.19268764555454254 4.856411933898926 4.388871669769287 -3.7082936763763428 -0.7863447666168213 3.5359139442443848 -0.13709108531475067 -0.02444058656692505 -0.422239750623703 2.1933071613311768 0.3125622570514679 -2.5351388454437256 -0.5157581567764282 -4.658186435699463 -0.8894819021224976 -2.622875452041626 1.0259604454040527 -0.9765307903289795 2.7353596687316895 -2.6523702144622803 -2.852003574371338 -0.1259896457195282 0.28302788734436035 1.1761902570724487 0.09444579482078552 5.91658353805542 1.0139484405517578 -2.331817626953125 5.155844211578369 -1.687195897102356 0.7167174220085144 0.3124028742313385 -3.572958469390869 -1.6712672710418701 2.201892852783203 -0.9378953576087952 -0.6062520742416382 -2.8857457637786865 1.258020043373108 -0.6813220977783203 3.0617122650146484 7.515083312988281 -2.0356106758117676 -0.5024852752685547 -11.550731658935547 -7.390987396240234 -4.207005023956299 -0.7381577491760254 -14.494071960449219 -6.421295166015625 0.8097510933876038 0.9044885635375977 2.1875832080841064 -1.8938542604446411 -0.8659247159957886 -8.301137924194336 -1.063328742980957 -4.665151119232178 12.372780799865723 -0.8684086799621582 2.265507221221924 -0.624011218547821 -0.6179395914077759 0.7609925270080566 3.6388988494873047 1.7301121950149536 0.9344260692596436 6.989650249481201 1.840764045715332 -1.076677680015564 0.7383825182914734 -0.2781553268432617 0.6386101245880127 0.7623578906059265 -0.18548086285591125 -6.068668365478516 -0.3765503466129303 -10.174993515014648 0.25899481773376465 -0.6832302212715149 0.4118196368217468 -2.2065868377685547 2.0814950466156006
itraconazole	9.919748306274414 -3.806631088256836 -8.025954246520996 0.5435106158256531 -0.9656673669815063 -0.7262418270111084 -0.6943021416664124 2.4143664836883545 -1.0953094959259033 -4.504481315612793 -4.99759578704834 -5.251765251159668 1.8078300952911377 -3.660088300704956 -0.9198948740959167 -5.229811668395996 0.39520370960235596 1.1423262357711792 3.3649556636810303 5.851180076599121 -2.970050573348999 -4.24346923828125 4.358551025390625 1.9567503929138184 -3.9653944969177246 0.8143653273582458 3.8783812522888184 -2.212653636932373 -3.3020830154418945 0.05852299556136131 -11.349751472473145 0.40130722522735596 1.3004326820373535 -3.4137539863586426 3.68058443069458 4.189294815063477 -2.149580478668213 -0.3407859802246094 -0.33660534024238586 -0.717470645904541 7.6365766525268555 -1.318064570426941 -0.7661905288696289 0.8878166675567627 -4.86211633682251 4.938991546630859 -0.9501299858093262 -3.2006020545959473 1.782623291015625 -7.435917854309082 -0.8551225066184998 2.2339015007019043 -0.5838810801506042 1.5289870500564575 -3.6668241024017334 0.41141679883003235 -0.7954749464988708 9.029393196105957 4.207977771759033 -8.326399803161621 -9.14242172241211 -6.8782639503479 -7.448461055755615 -4.736716270446777 -1.0119493007659912 -16.156688690185547 -6.352232456207275 1.8074750900268555 0.6824243068695068 3.1919102668762207 -1.7203105688095093 -1.8881574869155884 -7.942549228668213 -1.0915946960449219 -4.103665351867676 9.526045799255371 -1.4725456237792969 2.3171491622924805 -0.8433104157447815 -0.5712703466415405 -1.6624338626861572 7.936672687530518 3.636829376220703 1.2166327238082886 7.850306034088135 1.002000331878662 -1.745714783668518 1.3872004747390747 -0.9683117270469666 0.9190373420715332 0.6204582452774048 -0.5109668374061584 -6.346868991851807 -1.715904951095581 -13.023892402648926 0.09762509167194366 -1.11215078830719 -0.4732792377471924 -3.8309314250946045 2.0389115810394287
ticlopidine	5.635416030883789 -3.387028217315674 -6.881422519683838 1.0766756534576416 -0.19847805798053741 -0.33960744738578796 -0.6806987524032593 3.3858864307403564 -0.4996219873428345 -3.5147860050201416 -2.3465685844421387 -6.124695777893066 2.15583872795105 0.18069308996200562 -0.21763187646865845 -4.571875095367432 -0.644951343536377 1.9729671478271484 1.2662949562072754 5.238711833953857 -2.9531540870666504 -2.0964910984039307 5.329936981201172 -0.8829993605613708 -0.5362969636917114 0.3550761938095093 4.213239669799805 -1.3577675819396973 -2.990734100341797 1.0419461727142334 -5.191381454467773 -0.7133908271789551 -0.5529153943061829 -7.625249862670898 1.966187596321106 3.970139980316162 -3.083625316619873 -2.538020133972168 0.499537855386734 0.15559369325637817 7.674478530883789 -0.4720982611179352 0.7394794821739197 0.5889945030212402 -3.7656850814819336 3.8719534873962402 -0.47412624955177307 -1.8171501159667969 3.112928867340088 -3.5524075031280518 -1.2872815132141113 1.7317259311676025 -0.8814774751663208 -0.36490094661712646 0.4385576844215393 0.7915109395980835 0.8964994549751282 5.361639022827148 2.0155487060546875 -3.1682698726654053 -1.692480444908142 -2.195136785507202 -7.053147315979004 -4.309559345245361 0.5211077928543091 -11.168124198913574 -1.4901456832885742 0.520994246006012 0.8438774347305298 1.2951719760894775 -2.1416163444519043 -0.9987504482269287 -1.7562994956970215 -1.073500156402588 -2.5266051292419434 3.9299139976501465 -1.5603668689727783 2.066080093383789 0.05797777324914932 -1.4241517782211304 1.3793392181396484 3.2437949180603027 2.956847906112671 1.127434253692627 3.7699458599090576 0.524919867515564 -1.2082473039627075 -0.5267285108566284 0.7290084362030029 -0.2773028612136841 -1.089613676071167 1.2610840797424316 -6.757961273193359 0.7611969113349915 -7.939717769622803 2.5033249855041504 1.1272916793823242 1.2226927280426025 -3.0255868434906006 -0.24833065271377563
ketamine	3.9434142112731934 -0.20371578633785248 -5.250820159912109 0.37643536925315857 -0.8095531463623047 0.25518015027046204 -0.7095754146575928 4.600484848022461 -1.8831183910369873 -3.093569278717041 -1.7378629446029663 -5.304269790649414 0.041175246238708496 -1.0810433626174927 -0.34173595905303955 -3.29176926612854 0.8436196446418762 1.1633738279342651 1.3592214584350586 4.10455846786499 -0.43882572650909424 0.13235154747962952 -0.039643749594688416 -0.24453464150428772 0.354075163602829 -0.7510032057762146 1.9529433250427246 -1.2820484638214111 -2.078749418258667 -0.1856812983751297 -3.614121437072754 0.6992080211639404 0.9714611768722534 -4.937027454376221 2.4178507328033447 1.5919297933578491 -1.2546089887619019 0.8113746047019958 -0.38557636737823486 0.8331539630889893 6.422804355621338 0.31437790393829346 -0.08261469006538391 2.0785109996795654 -0.489372193813324 4.04964542388916 0.2467486560344696 -0.13183367252349854 2.4490787982940674 -1.0343902111053467 -1.0334376096725464 -0.07723793387413025 -0.5613720417022705 0.019094932824373245 -2.4997544288635254 0.37901321053504944 0.9676330089569092 8.081974983215332 3.3832895755767822 -5.132685661315918 -1.709593415260315 -1.6285231113433838 -8.349638938903809 -3.9380478858947754 -1.729151725769043 -12.281628608703613 -1.81599760055542 1.3207427263259888 0.7399883270263672 4.4739089012146 -1.528244137763977 -1.4258273839950562 -2.5153560638427734 -0.9873999357223511 -3.5223288536071777 5.486303329467773 -1.6554338932037354 3.2777280807495117 -0.016408972442150116 -1.0746214389801025 -1.916298270225525 3.1027214527130127 4.103221893310547 1.3270790576934814 4.990771293640137 1.067138910293579 -1.8974735736846924 -0.03368276357650757 -1.059394359588623 0.4352108836174011 -1.185444951057434 0.7597001791000366 -4.935863494873047 0.6469696164131165 -9.407358169555664 2.4867446422576904 -0.48551976680755615 -0.10843366384506226 -3.8626880645751953 -0.2071952223777771
warfarin	5.587368011474609 -3.5707454681396484 -6.533531188964844 1.5850650072097778 -0.4923415780067444 -0.7302449941635132 -0.6696447134017944 3.957641839981079 -1.0810712575912476 -3.404237747192383 -2.6420958042144775 -7.5788397789001465 2.6267213821411133 -4.54399299621582 1.699467658996582 -4.479066371917725 0.4141703248023987 3.1331944465637207 1.3764903545379639 6.295721530914307 -4.487094879150391 -1.7612206935882568 6.047268867492676 0.07072779536247253 -1.4023160934448242 0.6792569756507874 4.39638090133667 -2.173816680908203 -2.719951868057251 1.6859805583953857 -4.150357723236084 -0.8105711936950684 -0.5113939046859741 -5.205498695373535 3.4016313552856445 4.567582130432129 -3.8971853256225586 -1.4242420196533203 0.4267200827598572 2.1060845851898193 6.9252095222473145 -1.5353457927703857 -0.19968056678771973 0.693973183631897 -5.054685115814209 4.181750297546387 -0.42060309648513794 -3.4924747943878174 4.323493957519531 -4.023778438568115 -0.37325263023376465 3.2200653553009033 1.0170388221740723 -0.10179095715284348 -2.6127231121063232 0.45078474283218384 -0.9285327196121216 8.387690544128418 3.244058609008789 -5.758787155151367 -3.4784698486328125 -2.731393575668335 -5.100694179534912 -1.3867286443710327 -0.4428447186946869 -12.680243492126465 -7.520585060119629 1.337389349937439 -0.6110658049583435 4.957843780517578 -2.1078715324401855 -1.0596158504486084 -1.6768001317977905 -1.4027923345565796 -5.133249282836914 3.3182711601257324 -0.8348345756530762 1.220982313156128 -0.9599961042404175 0.419918417930603 -0.7224574089050293 6.067718029022217 1.5506013631820679 0.9097018241882324 5.959255218505859 0.3233775496482849 -1.756859302520752 1.2264480590820312 -0.595024585723877 2.228637933731079 0.6371154189109802 -0.6694386601448059 -3.7993197441101074 -1.1857354640960693 -10.764437675476074 -0.16030168533325195 -0.9304697513580322 -1.045639157295227 -3.673272132873535 2.6638216972351074
